year,month,month_name,rainfall_mm,avg_temp_c,max_temp_c,min_temp_c,humidity_pct,rainy_days,stagnant_water_index,mosquito_density_index,prev_month_cases,dengue_cases,risk_level
2019,1,January,2.1,22.5,29.0,15.0,52,1,1.2,1.5,18,8,Low
2019,2,February,0.0,24.8,32.0,17.0,40,0,0.8,1.2,8,4,Low
2019,3,March,8.4,27.5,35.0,19.0,42,2,1.5,1.8,4,6,Low
2019,4,April,18.2,30.2,37.0,21.0,48,4,2.1,2.5,6,11,Low
2019,5,May,52.6,29.8,35.0,22.0,60,8,3.8,4.2,11,24,Medium
2019,6,June,98.4,26.5,29.0,22.0,78,18,5.9,6.8,24,52,Medium
2019,7,July,186.3,25.0,27.0,21.0,91,27,7.8,8.5,52,98,High
2019,8,August,158.2,25.2,27.5,21.0,88,25,8.2,9.1,98,112,High
2019,9,September,124.6,26.0,29.0,21.0,82,20,7.5,8.2,112,87,High
2019,10,October,62.4,26.8,31.0,20.0,72,12,5.6,6.4,87,54,Medium
2019,11,November,18.6,24.5,30.0,18.0,62,5,3.2,3.8,54,22,Low
2019,12,December,1.2,22.5,29.0,15.5,52,1,1.5,1.8,22,10,Low
2020,1,January,1.8,22.8,29.5,15.2,50,1,1.1,1.4,10,7,Low
2020,2,February,0.0,25.2,32.5,17.5,38,0,0.7,1.1,7,3,Low
2020,3,March,6.2,28.0,36.0,19.5,40,2,1.3,1.6,3,5,Low
2020,4,April,22.8,31.0,38.0,21.5,46,5,2.4,2.8,5,14,Low
2020,5,May,61.4,30.2,36.0,22.5,62,9,4.2,4.8,14,28,Medium
2020,6,June,112.6,26.8,29.5,22.0,80,19,6.4,7.2,28,61,Medium
2020,7,July,212.8,25.2,27.5,21.2,92,28,8.5,9.4,61,118,High
2020,8,August,178.4,25.5,28.0,21.0,89,26,8.8,9.6,118,134,High
2020,9,September,138.2,26.2,29.5,21.2,84,21,7.9,8.6,134,102,High
2020,10,October,72.6,27.0,31.5,20.2,74,13,6.0,6.8,102,62,Medium
2020,11,November,22.4,24.8,30.5,18.5,64,6,3.5,4.1,62,28,Medium
2020,12,December,0.8,22.8,29.5,16.0,53,1,1.4,1.7,28,11,Low
2021,1,January,3.2,22.2,28.5,14.8,54,1,1.3,1.6,11,9,Low
2021,2,February,0.0,24.5,31.5,16.8,41,0,0.9,1.3,9,4,Low
2021,3,March,10.6,27.2,34.5,19.0,43,3,1.7,2.0,4,7,Low
2021,4,April,15.4,29.8,36.5,21.0,49,3,2.0,2.3,7,10,Low
2021,5,May,44.8,29.5,35.0,22.0,58,7,3.4,3.9,10,20,Low
2021,6,June,88.2,26.2,28.5,21.8,76,17,5.5,6.2,20,46,Medium
2021,7,July,168.4,24.8,26.8,21.0,90,26,7.4,8.0,46,88,High
2021,8,August,144.6,25.0,27.2,21.0,87,24,7.8,8.4,88,96,High
2021,9,September,112.8,25.8,28.8,21.0,81,19,7.1,7.8,96,76,High
2021,10,October,54.2,26.5,30.8,19.8,70,11,5.2,5.9,76,46,Medium
2021,11,November,14.8,24.2,29.8,18.0,60,4,2.9,3.4,46,18,Low
2021,12,December,0.6,22.2,29.0,15.5,51,0,1.2,1.5,18,8,Low
2022,1,January,2.4,22.6,29.2,15.1,51,1,1.2,1.5,8,6,Low
2022,2,February,0.0,25.0,32.2,17.2,39,0,0.8,1.1,6,3,Low
2022,3,March,7.8,27.8,35.2,19.2,41,2,1.4,1.7,3,5,Low
2022,4,April,20.6,30.5,37.5,21.2,47,4,2.2,2.6,5,12,Low
2022,5,May,56.2,30.0,35.5,22.2,61,8,4.0,4.5,12,26,Medium
2022,6,June,102.8,26.6,29.2,22.0,79,18,6.1,7.0,26,56,Medium
2022,7,July,192.6,25.1,27.2,21.1,91,27,8.0,8.8,56,104,High
2022,8,August,162.4,25.3,27.6,21.0,88,25,8.4,9.2,104,116,High
2022,9,September,128.8,26.1,29.2,21.1,83,20,7.6,8.3,116,90,High
2022,10,October,66.8,26.9,31.2,20.1,71,12,5.7,6.5,90,58,Medium
2022,11,November,20.2,24.6,30.2,18.2,61,5,3.3,3.9,58,24,Low
2022,12,December,1.0,22.6,29.2,15.8,52,1,1.4,1.7,24,10,Low
2023,1,January,2.8,22.4,28.8,14.9,53,1,1.3,1.6,10,8,Low
2023,2,February,0.0,24.7,31.8,17.0,40,0,0.8,1.2,8,4,Low
2023,3,March,9.0,27.4,34.8,19.1,42,2,1.6,1.9,4,6,Low
2023,4,April,17.8,30.0,37.0,21.1,48,4,2.1,2.4,6,11,Low
2023,5,May,48.4,29.7,35.2,22.1,59,8,3.6,4.1,11,22,Medium
2023,6,June,94.6,26.4,28.8,21.9,77,17,5.7,6.5,22,49,Medium
2023,7,July,178.2,24.9,27.0,21.1,91,27,7.6,8.3,49,94,High
2023,8,August,152.8,25.1,27.4,21.0,88,25,8.0,8.8,94,108,High
2023,9,September,120.4,25.9,29.0,21.0,82,20,7.3,8.0,108,82,High
2023,10,October,60.2,26.7,31.0,20.0,71,12,5.4,6.2,82,50,Medium
2023,11,November,16.4,24.4,30.0,18.1,61,4,3.0,3.6,50,20,Low
2023,12,December,0.8,22.4,29.0,15.6,52,1,1.3,1.6,20,9,Low
2024,1,January,3.0,22.5,29.0,15.0,52,1,1.2,1.5,9,7,Low
2024,2,February,0.0,25.0,32.0,17.0,40,0,0.8,1.1,7,3,Low
2024,3,March,8.8,27.5,35.0,19.0,42,2,1.5,1.8,3,6,Low
2024,4,April,19.4,30.2,37.2,21.0,48,4,2.2,2.5,6,12,Low
2024,5,May,54.0,29.9,35.2,22.0,60,8,3.9,4.4,12,25,Medium
2024,6,June,100.6,26.5,29.0,22.0,78,18,6.0,6.9,25,54,Medium
2024,7,July,198.4,25.0,27.0,21.0,92,28,8.2,9.0,54,110,High
2024,8,August,168.6,25.2,27.5,21.0,89,26,8.6,9.4,110,124,High
2024,9,September,132.4,26.0,29.2,21.0,83,21,7.7,8.4,124,94,High
2024,10,October,68.4,26.8,31.2,20.0,72,12,5.8,6.6,94,60,Medium
2024,11,November,19.2,24.5,30.2,18.0,62,5,3.2,3.8,60,24,Medium
2024,12,December,1.0,22.5,29.0,15.5,52,1,1.4,1.7,24,10,Low
