taluka,year,total_cases,stagnant_water_bodies,population_density,sanitation_score,drainage_quality_score,avg_cases_per_1000
Dharwad,2019,142,38,2840,5.2,4.8,2.1
Hubballi Rural,2019,118,44,1920,4.8,4.2,3.2
Hubballi City,2019,186,62,5640,4.2,3.8,1.8
Kalghatgi,2019,52,28,820,6.2,5.8,3.8
Kundgol,2019,38,22,680,6.8,6.2,3.2
Navalgund,2019,44,26,740,6.5,5.9,3.5
Annigeri,2019,34,18,620,7.0,6.4,2.9
Alnavar,2019,28,16,540,7.2,6.8,2.6
Dharwad,2020,168,42,2840,5.0,4.6,2.5
Hubballi Rural,2020,142,50,1920,4.6,4.0,3.8
Hubballi City,2020,224,70,5640,4.0,3.6,2.2
Kalghatgi,2020,62,32,820,6.0,5.6,4.5
Kundgol,2020,46,26,680,6.6,6.0,3.9
Navalgund,2020,52,30,740,6.3,5.7,4.2
Annigeri,2020,40,21,620,6.8,6.2,3.4
Alnavar,2020,34,18,540,7.0,6.6,3.2
Dharwad,2021,124,35,2840,5.4,5.0,1.8
Hubballi Rural,2021,102,40,1920,5.0,4.4,2.8
Hubballi City,2021,158,55,5640,4.4,4.0,1.5
Kalghatgi,2021,44,24,820,6.4,6.0,3.2
Kundgol,2021,32,19,680,7.0,6.4,2.7
Navalgund,2021,38,23,740,6.7,6.1,3.0
Annigeri,2021,28,16,620,7.2,6.6,2.4
Alnavar,2021,22,13,540,7.4,7.0,2.0
Dharwad,2022,148,40,2840,5.1,4.7,2.2
Hubballi Rural,2022,126,46,1920,4.7,4.1,3.4
Hubballi City,2022,202,66,5640,4.1,3.7,2.0
Kalghatgi,2022,56,29,820,6.1,5.7,4.1
Kundgol,2022,40,24,680,6.7,6.1,3.4
Navalgund,2022,48,27,740,6.4,5.8,3.8
Annigeri,2022,36,19,620,6.9,6.3,3.1
Alnavar,2022,30,16,540,7.1,6.7,2.8
Dharwad,2023,134,37,2840,5.3,4.9,2.0
Hubballi Rural,2023,112,42,1920,4.9,4.3,3.0
Hubballi City,2023,178,60,5640,4.3,3.9,1.7
Kalghatgi,2023,50,26,820,6.3,5.9,3.6
Kundgol,2023,36,21,680,6.9,6.3,3.0
Navalgund,2023,42,25,740,6.6,6.0,3.4
Annigeri,2023,32,17,620,7.1,6.5,2.7
Alnavar,2023,26,14,540,7.3,6.9,2.4
Dharwad,2024,156,41,2850,5.1,4.7,2.3
Hubballi Rural,2024,130,48,1930,4.8,4.1,3.5
Hubballi City,2024,214,68,5660,4.1,3.7,2.1
Kalghatgi,2024,58,30,825,6.1,5.7,4.2
Kundgol,2024,42,25,685,6.7,6.1,3.6
Navalgund,2024,50,28,745,6.4,5.8,4.0
Annigeri,2024,38,20,625,6.9,6.3,3.2
Alnavar,2024,32,17,545,7.1,6.7,2.9
